title,price,original_price,image_path,category,sku
"Blaupunkt Pure Coaxial Speakers 66.2",1600,1600,"/images/products/blaupunkt-pure-coaxial-speakers-66-2.jpg","Car Speakers","SC-0033"
"Blaupunkt San Jose 1000 9 Inches Android Stereo 4GB Ram 64GB Storage Android v13.",27500,27500,"/images/products/blaupunkt-san-jose-1000-9-inches-android-stereo-4gb-ram-64gb.jpg","Car Stereos","SC-0034"
"Blaupunkt XLF 10A 10” Compact Active Under Seat Subwoofer (150W RMS 600W Peak)",13900,13900,"/images/products/blaupunkt-xlf-10a-10-compact-active-under-seat-subwoofer-150.jpg","Car Subwoofers","SC-0035"
"Brezza 2022 Onwards Screen Activator Video In Motion",1100,1100,"/images/products/brezza-2022-onwards-screen-activator-video-in-motion.jpg","Accessories","SC-0036"
"Brezza Android stereo - 4/64 GB With Android Frame",5800,5800,"/images/products/brezza-android-stereo-4-64-gb-with-android-frame.jpg","Car Stereos","SC-0037"
"Brezza Auto folding mirrors / ORVM for base model With wiring and switch MSGA ORIGNAL",12900,12900,"/images/products/brezza-auto-folding-mirrors-orvm-for-base-model-with-wiring-.jpg","Exterior","SC-0038"
"Brezza base model to top model conversion kit",17940,17940,"/images/products/brezza-base-model-to-top-model-conversion-kit.jpg","Car Accessories","SC-0039"
"Brezza Height adjustment seat",9199,9199,"/images/products/brezza-height-adjustment-seat.jpg","Interior","SC-0040"
"Brezza Top Model Steering - Leather Upholstery wrapped with all controls",6900,6900,"/images/products/brezza-top-model-steering-leather-upholstery-wrapped-with-al.jpg","Interior","SC-0041"
"Cardi K3 Ambient Lights - Set of 10 pieces",4920,4920,"/images/products/cardi-k3-ambient-lights-set-of-10-pieces.jpg","Lighting","SC-0042"
"Cardi K3 Ambient Lights - Set of 18 pieces",5800,5800,"/images/products/cardi-k3-ambient-lights-set-of-18-pieces.jpg","Lighting","SC-0043"
"Cardi K3 Ambient Lights - Set of 6 pieces",4400,4400,"/images/products/cardi-k3-ambient-lights-set-of-6-pieces.jpg","Lighting","SC-0044"
"Cardi K4 Ambient Lights - Set of 10 pieces",5520,5520,"/images/products/cardi-k4-ambient-lights-set-of-10-pieces.jpg","Lighting","SC-0045"
"Cardi K4 Ambient Lights - Set of 18 pieces",6300,6300,"/images/products/cardi-k4-ambient-lights-set-of-18-pieces.jpg","Lighting","SC-0046"
"Cardi K4 Ambient Lights - Set of 6 pieces",5170,5170,"/images/products/cardi-k4-ambient-lights-set-of-6-pieces.jpg","Lighting","SC-0047"
"Ciaz 9 inches Android Frame with Coupler",1200,1200,"/images/products/ciaz-9-inches-android-frame-with-coupler.jpg","Car Stereos","SC-0048"
"Ciaz Camera Activator - To turn on orignal camera in Android Stereo",850,850,"/images/products/ciaz-camera-activator-to-turn-on-orignal-camera-in-android-s.jpg","Car Stereos","SC-0049"
