Product Id,Product Handle,Product Title,Product Status,Product Thumbnail,Product Sales Channel 1,Variant Id
prod_01KKR4HC7ZN7JKX17B6CP0E6B5,blaupunkt-car-led-12x-pro-hp-headlight-h7-h18-180w-6000k-6500-lumens-velocity-power-2-year-warranty,Blaupunkt Car LED 12X Pro HP Headlight | H7 / H18 | 180W | 6000K | 6500 Lumens | Velocity Power | 2-Year Warranty,published,https://nhone.in/cdn/shop/files/blaupunkt-car-led-12x-pro-hp-h7-h8-h16-h11-h4-h9-180-watt-headlight-6000k.webp,sc_01KKQ6RZAQG80TTY3A9B1M913K,variant_01KKR4HCGC6EVCEX2SB1XR30SM
prod_01KKR4HC7ZR5EEX1QPCHCN1939,mytvs-200w-led-car-headlight-bulbs-h7-h18-20000-lumens-6000k-cool-white-plug-play-2-year-warranty,myTVS 200W LED Car Headlight Bulbs | H7 / H18 | 20000 Lumens | 6000K Cool White | Plug & Play | 2-Year Warranty,published,https://nhone.in/cdn/shop/files/Untitled_design_6994637f-57b0-45d9-aca3-49d617ac3ebf.png,sc_01KKQ6RZAQG80TTY3A9B1M913K,variant_01KKR4HCGC9M1Z2J30D7VZKR61
prod_01KKR4HC7ZRC626NY07ZMA88Q8,mytvs-200w-led-car-headlight-bulbs-9005-hb3-20000-lumens-6000k-cool-white-plug-play-2-year-warranty,myTVS 200W LED Car Headlight Bulbs | 9005 / HB3 | 20000 Lumens | 6000K Cool White | Plug & Play | 2-Year Warranty,published,https://nhone.in/cdn/shop/files/Untitled_design_6994637f-57b0-45d9-aca3-49d617ac3ebf.png,sc_01KKQ6RZAQG80TTY3A9B1M913K,variant_01KKR4HCGCF7NQ5XW815Q1MGYN
prod_01KKR4HC7ZRNSYANAKN0Q2R2SF,blaupunkt-car-led-12x-pro-hp-headlight-h4-h19-180w-6000k-6500-lumens-velocity-power-2-year-warranty,Blaupunkt Car LED 12X Pro HP Headlight | H4 / H19 | 180W | 6000K | 6500 Lumens | Velocity Power | 2-Year Warranty,published,https://nhone.in/cdn/shop/files/Untitled_design_1_d8dc924b-f8aa-46cc-b312-45143832c3ac.png,sc_01KKQ6RZAQG80TTY3A9B1M913K,variant_01KKR4HCGCCJMZPYQPRWV4CN2F
prod_01KKR4HC7ZVNGYQ3S496Z4YREP,mytvs-200w-led-car-headlight-bulbs-h4-h19-20000-lumens-6000k-cool-white-plug-play-2-year-warranty,myTVS 200W LED Car Headlight Bulbs | H4 / H19 | 20000 Lumens | 6000K Cool White | Plug & Play | 2-Year Warranty,published,https://nhone.in/cdn/shop/files/Untitled_design_6994637f-57b0-45d9-aca3-49d617ac3ebf.png,sc_01KKQ6RZAQG80TTY3A9B1M913K,variant_01KKR4HCGD5KDE77VT70G2MHNF
prod_01KKR4HCK9ZX6X3ZBQQJNXDDRR,moco-h4-car-led-headlight-156w-pro-vision-super-bright-led-upgrade,MOCO H4 Car LED Headlight 156W Pro Vision | Super Bright LED Upgrade,published,https://nhone.in/cdn/shop/files/Untitleddesign_4_32805ce7-ab2c-464d-812f-6d2ec638ea92.png,sc_01KKQ6RZAQG80TTY3A9B1M913K,variant_01KKR4HCPG2XAWVSK3BMGFAGT0
prod_01KKR4HCR33695RTWAZGTBRYX3,yuemi-m11-car-infotainment-system-4gb-ram-64gb-storage-11-5-display-digital-knob-interface,"YueMi M11 Car Infotainment System | 4GB RAM + 64GB Storage | 11.5"" Display | Digital Knob Interface",published,https://nhone.in/cdn/shop/files/8C8486D7-A5F0-4E9F-ADC9-D9BD4930E294.webp,sc_01KKQ6RZAQG80TTY3A9B1M913K,variant_01KKR4HCVKZ9683E4ASSEDRDF8
prod_01KKR4HCR33C40NCG148FC7W22,nakamichi-nam5260-4gb-ram-64-gb-memory-9-inch-wireless-apple-carplay-android-auto-car-android-stereo,Nakamichi NAM5260 4GB Ram 64 GB Memory | 9 Inch | Wireless Apple CarPlay Android Auto Car Android Stereo,published,https://nhone.in/cdn/shop/files/Untitleddesign_20_90825e32-1c75-45d7-a6f9-18e4e346af40.png,sc_01KKQ6RZAQG80TTY3A9B1M913K,variant_01KKR4HCVKEPWXKM9Q5NSDCB3A
prod_01KKR4HCR34CX8EMB49K0Z7P74,nippon-ndroid-9t-4-64-gb-car-mediaplayer-with-qled-display-built-in-wireless-carplay-and-android-auto-android-v13-bt-v5-2-supports-wifi-2-4-5g,"Nippon NDROID 9T (4/64 GB) Car MediaPlayer with QLED Display | Built-in Wireless Carplay and Android Auto, Android V13, BT v5.2, Supports WiFi 2.4&5G",published,https://nhone.in/cdn/shop/files/61B9K-I8m6L._SL1500.jpg,sc_01KKQ6RZAQG80TTY3A9B1M913K,variant_01KKR4HCVKCPX7FFMNKSHTXM5H
prod_01KKR4HCR39Y38G15TAKAGJE9T,blaupunkt-palm-bay-1000-4gb-64gb-ram-9-android-in-car-infotainment-with-wireless-carplay-android-auto-reverse-camera-bcdh3-1-included,Blaupunkt Palm Bay 1000 — 4GB/ 64GB RAM | 9” Android In-Car Infotainment with Wireless CarPlay & Android Auto (Reverse Camera BCDH3.1 Included),published,https://nhone.in/cdn/shop/files/Untitleddesign_10_d8d988e9-27a2-4892-b01b-aa570ea67b2c.png,sc_01KKQ6RZAQG80TTY3A9B1M913K,variant_01KKR4HCVKPVPTFPJ39258GAZZ
